BBL,UnitsTotal,UnitsRes
1002760020,7,5
1002280022,5,4
1005900056,4,0
1005890030,1,0
1005310056,0,0
1011860040,8,8
1004940026,20,18
1005580017,3,2
1001807505,5,5
1005820050,1,0
1004680049,9,9
1008090073,1,0
1002040034,5,0
1002270019,3,2
1001367504,5,4
1006120028,2,1
1004230028,9,0
1004100032,2,0
1008980025,2,0
1008970053,1,0
1007870058,5,0
1003850030,1,0
1003870119,24,22
1009110055,1,1
1004070039,0,0
1004360002,4,3
1008850079,3,2
1007760001,42,0
1000190013,1,0
1006220070,3,2
1004700032,27,20
1008120042,22,0
1005250024,7,5
1008490025,3,0
1005510011,1,0
1006230039,3,3
1006190039,25,22
1008180051,22,0
1008100040,2,0
1001950014,15,0
1006050039,2,2
1008480043,13,0
1006270013,17,16
1005850019,0,0
1005030024,9,8
1008990023,7,7
1003480022,17,13
1001790063,6,0
1006510005,0,0
1008790060,3,0
1010360051,6,3
1007190043,9,8
1021440045,39,31
1021450027,1,0
1019880024,19,19
1019880123,38,36
1010850136,9,8
1021700356,42,42
1021110072,0,0
1006650014,1,0
1019900010,47,47
1015890041,185,183
1019620056,69,66
1003930056,33,33
1004500031,9,8
1008890061,9,7
1005070002,8,8
1008900065,15,12
1012130036,16,12
1010630008,6,3
1004630020,24,22
1005610009,24,22
1003440145,4,2
1008890053,1,0
1004430032,16,15
1003950007,16,14
1021540190,4,4
1005210009,86,86
1008230010,23,0
1008850012,5,4
1004380009,19,16
1004430035,42,39
1003970027,1,1
1011147503,231,230
1020230041,2,2
1019040150,4,4
1019380112,4,4
1019060106,3,3
1015570027,1,0
1015570008,6,0
1008060003,8,4
1020810006,60,60
1019120156,2,2
1019410046,8,8
1018730024,2,0
1019170019,3,3
1015300047,4,0
1015240010,1,1
1001990032,21,19
1006097502,20,19
1006250039,2,1
1004700029,16,15
1008030057,7,6
1005767503,32,30
1001790073,1,0
1003100018,4,3
1002290012,5,4
1002600001,813,813
1000680007,2,0
1008620009,77,77
1012170001,1,0
1002970016,17,16
1003907503,6,6
1009270013,22,22
1008340022,51,0
1009430007,36,33
1004370033,9,7
1007200023,5,5
1021770018,67,64
1002000011,9,8
1004460001,6,5
1005720002,3,2
1005310048,6,6
1012270035,14,13
1006150004,1,1
1006330010,1,0
1009180025,47,47
1003930051,16,14
1003890027,5,5
1003770024,0,0
1003480018,20,18
1008350061,2,0
1020260006,20,19
1001337502,5,5
1004120029,24,22
1004760088,17,16
1011280012,10,10
1008970066,9,9
1008477501,2,0
1008810063,29,29
1021700105,90,90
1021100021,12,12
1011210014,9,9
1022250024,30,26
1019930112,38,36
1020610061,10,9
1015040058,14,14
1021280052,1,0
1021740189,16,16
1021790207,65,64
1020720029,10,8
1020870091,21,21
1020820013,21,21
1021320082,20,20
1020417505,3,3
1013950062,2,2
1019400128,6,6
1018720007,9,8
1018400061,0,0
1007750058,1,0
1008280021,5,0
1020100063,19,17
1019010139,3,3
1019200004,4,2
1014850010,30,30
1014080027,3,1
1010250044,7,0
1007460007,5,5
1007660027,19,18
1010360036,87,79
1010340056,1,0
1011820018,3,3
1021090101,4,4
1021560092,35,35
1020470033,10,9
1007200077,11,11
1011470017,9,9
1021760146,21,21
1021390181,46,46
1014950050,7,6
1019600056,2,2
1020817503,3,3
1010827501,913,864
1020140061,19,17
1022020005,5,0
1019600015,1,0
1021100037,65,65
1015030001,1,0
1019070048,11,11
1011620053,3,3
1012490044,9,9
1021540013,0,0
1020580005,3,3
1021170046,0,0
1019700016,104,104
1020820015,21,21
1008740032,3,3
1010360163,9,8
1010530003,19,18
1006950037,2,0
1020840006,7,7
1010360062,4,3
1021340156,2,2
1010380045,1,0
1010387501,2,1
1021690042,20,20
1021640032,0,0
1021250049,35,30
1019300051,3,0
1020450037,32,32
1022267501,2,0
1010950024,1,0
1022220035,73,73
1013250029,6,5
1021230086,2,1
1019900025,22,22
1019500004,1,0
1020420011,4,4
1020860045,1,1
1020070013,0,0
1019090040,1,0
1013100027,102,56
1019390029,17,16
1018800013,2,0
1019630025,55,55
1020400004,10,7
1018870065,52,52
1020650061,14,13
1019170027,11,11
